part_number	description	metres	source
PUW6C04VL-CE	Cat 6 U/UTP 24 AWG	305	Νίκος 09/2026
PFFY6X04BU-CED	Cat 6A F/UTP 23 AWG	500	Νίκος 09/2026
PFFY6X04WH-CED	Cat 6A F/UTP 23 AWG	500	Νίκος 09/2026
PFY6X04BU-CED	Cat 6A F/UTP 23 AWG	500	Νίκος 09/2026
PFY6X04IG-CED	Cat 6A F/UTP 23 AWG	500	Νίκος 09/2026
PFY6X04WH-CED	Cat 6A F/UTP 23 AWG	500	Νίκος 09/2026
PSW7004BU-CED	Cat 7 S/FTP 23 AWG	500	Νίκος 09/2026
PSW7004WH-CED	Cat 7 S/FTP 23 AWG	500	Νίκος 09/2026
PFL6X04BL-CEG	Cat 6A F/UTP 23 AWG	305	Νίκος 09/2026
PFL6X04GR-CEG	Cat 6A F/UTP 23 AWG	305	Νίκος 09/2026
PFL6X04IG-CEG	Cat 6A F/UTP 23 AWG	305	Νίκος 09/2026
PFL6X04OR-CEG	Cat 6A F/UTP 23 AWG	305	Νίκος 09/2026
PFL6X04RD-CEG	Cat 6A F/UTP 23 AWG	305	Νίκος 09/2026
PFL6X04VL-CEG	Cat 6A F/UTP 23 AWG	305	Νίκος 09/2026
PFL6X04YL-CEG	Cat 6A F/UTP 23 AWG	305	Νίκος 09/2026
PUO6X04BL-CEG	Cat 6A U/UTP 23 AWG	305	Νίκος 09/2026
PUK6AHD04BU-EG	Cat 6A Vari-MaTriX HD	305	Νίκος 09/2026
PUK6AHD04IG-EG	Cat 6A Vari-MaTriX HD	305	Νίκος 09/2026
PUK6AHD04WH-EG	Cat 6A Vari-MaTriX HD	305	Νίκος 09/2026
PUL6AHD04BL-EG	Cat 6A Vari-MaTriX HD	305	Νίκος 09/2026
PUL6AHD04GR-EG	Cat 6A Vari-MaTriX HD	305	Νίκος 09/2026
PUL6AHD04IG-EG	Cat 6A Vari-MaTriX HD	305	Νίκος 09/2026
PUL6AHD04OR-EG	Cat 6A Vari-MaTriX HD	305	Νίκος 09/2026
PUL6AHD04RD-EG	Cat 6A Vari-MaTriX HD	305	Νίκος 09/2026
PUL6AHD04VL-EG	Cat 6A Vari-MaTriX HD	305	Νίκος 09/2026
PUL6AHD04YL-EG	Cat 6A Vari-MaTriX HD	305	Νίκος 09/2026
PUL6AV04BL-EG	Cat 6A Vari-MaTriX	305	Νίκος 09/2026
PUL6AV04BU-EG	Cat 6A Vari-MaTriX	305	Νίκος 09/2026
PUL6AV04GR-EG	Cat 6A Vari-MaTriX	305	Νίκος 09/2026
PUL6AV04IG-EG	Cat 6A Vari-MaTriX	305	Νίκος 09/2026
PUL6AV04OR-EG	Cat 6A Vari-MaTriX	305	Νίκος 09/2026
PUL6AV04RD-EG	Cat 6A Vari-MaTriX	305	Νίκος 09/2026
PUL6AV04VL-EG	Cat 6A Vari-MaTriX	305	Νίκος 09/2026
PUL6AV04YL-EG	Cat 6A Vari-MaTriX	305	Νίκος 09/2026
PUL6XHD04BL-EG	Cat 6A U/UTP 23 AWG	305	Νίκος 09/2026
PUL6XHD04BU-EG	Cat 6A U/UTP 23 AWG	305	Νίκος 09/2026
PUL6XHD04GR-EG	Cat 6A U/UTP 23 AWG	305	Νίκος 09/2026
PUL6XHD04IG-EG	Cat 6A U/UTP 23 AWG	305	Νίκος 09/2026
PUL6XHD04OR-EG	Cat 6A U/UTP 23 AWG	305	Νίκος 09/2026
PUL6XHD04RD-EG	Cat 6A U/UTP 23 AWG	305	Νίκος 09/2026
PUL6XHD04VL-EG	Cat 6A U/UTP 23 AWG	305	Νίκος 09/2026
PUL6XHD04WH-EG	Cat 6A U/UTP 23 AWG	305	Νίκος 09/2026
PUL6XHD04YL-EG	Cat 6A U/UTP 23 AWG	305	Νίκος 09/2026
PUY6AHD04BU-EG	Cat 6A Vari-MaTriX HD	305	Νίκος 09/2026
PUY6AHD04IG-EG	Cat 6A Vari-MaTriX HD	305	Νίκος 09/2026
PUY6AHD04WH-EG	Cat 6A Vari-MaTriX HD	305	Νίκος 09/2026
PUY6AV04BU-EG	Cat 6A Vari-MaTriX	305	Νίκος 09/2026
PUY6AV04IG-EG	Cat 6A Vari-MaTriX	305	Νίκος 09/2026
PUY6AV04WH-EG	Cat 6A Vari-MaTriX	305	Νίκος 09/2026
PUY6XHD04BU-EG	Cat 6A 23 AWG	305	Νίκος 09/2026
PUY6XHD04IG-EG	Cat 6A 23 AWG	305	Νίκος 09/2026
PUY6XHD04WH-EG	Cat 6A 23 AWG	305	Νίκος 09/2026
PUZ6AV04BU-EG	Cat 6A Vari-MaTriX	305	Νίκος 09/2026
PUZ6AV04IG-EG	Cat 6A Vari-MaTriX	305	Νίκος 09/2026
PUZ6AV04WH-EG	Cat 6A Vari-MaTriX	305	Νίκος 09/2026
PUL5504BU-EY	Cat 5e UTP 24 AWG	305	Νίκος 09/2026
PUL5504IG-EY	Cat 5e UTP 24 AWG	305	Νίκος 09/2026
PUL6004BL-FE	Cat 6 Enhanced 23 AWG	305	Νίκος 09/2026
PUL6004GR-FE	Cat 6 Enhanced 23 AWG	305	Νίκος 09/2026
PUL6004IG-FE	Cat 6 Enhanced 23 AWG	305	Νίκος 09/2026
PUL6004OR-FE	Cat 6 Enhanced 23 AWG	305	Νίκος 09/2026
PUL6004RD-FE	Cat 6 Enhanced 23 AWG	305	Νίκος 09/2026
PUL6004VL-FE	Cat 6 Enhanced 23 AWG	305	Νίκος 09/2026
PUL6004YL-FE	Cat 6 Enhanced 23 AWG	305	Νίκος 09/2026
PUY6C04BU-FE	Cat 6 24 AWG	305	Νίκος 09/2026
PUY6C04IG-FE	Cat 6 24 AWG	305	Νίκος 09/2026
PUY6C04WH-FE	Cat 6 24 AWG	305	Νίκος 09/2026
NUL6X04BU-FEG	Cat 6A U/UTP 23 AWG	305	Νίκος 09/2026
NUL6X04WH-FEG	Cat 6A U/UTP 23 AWG	305	Νίκος 09/2026
PFFJ6X04WH-HED	Cat 6A F/UTP 23 AWG	500	Νίκος 09/2026
PFFL6X04BU-HED	Cat 6A F/UTP 23 AWG	500	Νίκος 09/2026
PFFL6X04IG-HED	Cat 6A F/UTP 23 AWG	500	Νίκος 09/2026
PFFL6X04WH-HED	Cat 6A F/UTP 23 AWG	500	Νίκος 09/2026
PFFY6X04BU-HED	Cat 6A F/UTP 23 AWG	500	Νίκος 09/2026
